"","Constituency","Electorate (2000)","Electorate (2010)","Electorate (2015)","Largest ceremonial county or council area (Scotland)","Country of the UK","Region"
"596","Argyll and Bute","69,571","67,692","68,875","Argyll and Bute","Scotland",NA
"597","Ayr, Carrick and Cumnock","74,159","73,708","72,995","East Ayrshire and South Ayrshire","Scotland",NA
"598","Banff and Buchan","65,970","65,183","68,609","Aberdeenshire","Scotland",NA
"599","Berwickshire, Roxburgh and Selkirk","72,430","74,115","74,214","Scottish Borders","Scotland",NA
"600","Caithness, Sutherland and Easter Ross","46,533","47,572","47,558","Highland","Scotland",NA
"601","Central Ayrshire","69,161","69,243","70,021","North Ayrshire and South Ayrshire","Scotland",NA
"602","Coatbridge, Chryston and Bellshill","67,647","70,537","73,894","North Lanarkshire","Scotland",NA
"603","Cumbernauld, Kilsyth and Kirkintilloch East","67,802","65,317","67,088","East Dunbartonshire and North Lanarkshire","Scotland",NA
"604","Dumfries and Galloway","75,316","74,414","75,249","Dumfries and Galloway","Scotland",NA
"605","Dumfriesshire, Clydesdale and Tweeddale","65,137","67,066","68,483","Dumfries and Galloway, Scottish Borders and South Lanarkshire","Scotland",NA
"606","Dundee East","65,059","65,702","67,822","Angus and Dundee City","Scotland",NA
"607","Dundee West","67,751","63,065","65,927","Angus and Dundee City","Scotland",NA
"608","Dunfermline and West Fife","70,373","74,621","78,037","Fife","Scotland",NA
"609","East Dunbartonshire","66,724","64,186","66,966","East Dunbartonshire","Scotland",NA
"610","East Kilbride, Strathaven and Lesmahagow","77,257","77,985","83,205","South Lanarkshire","Scotland",NA
"611","East Lothian","71,288","74,320","79,481","East Lothian","Scotland",NA
"612","East Renfrewshire","69,249","68,117","69,982","East Renfrewshire","Scotland",NA
"613","Edinburgh East","74,505","60,594","67,141","City of Edinburgh","Scotland",NA
"614","Edinburgh North and Leith","74,762","69,580","80,910","City of Edinburgh","Scotland",NA
"615","Edinburgh South","68,884","59,285","65,801","City of Edinburgh","Scotland",NA
"616","Edinburgh South West","75,787","66,262","72,149","City of Edinburgh","Scotland",NA
"617","Edinburgh West","70,603","65,526","71,717","City of Edinburgh","Scotland",NA
"618","Falkirk","78,281","82,473","83,380","Falkirk","Scotland",NA
"619","Glasgow Central","70,378","67,521","70,945","Glasgow City","Scotland",NA
"620","Glasgow East","70,167","66,482","70,378","Glasgow City","Scotland",NA
"621","Glasgow North","63,729","54,620","60,169","Glasgow City","Scotland",NA
"622","Glasgow North East","70,899","64,171","66,678","Glasgow City","Scotland",NA
"623","Glasgow North West","67,087","64,522","68,418","Glasgow City","Scotland",NA
"624","Glasgow South","74,482","69,122","74,051","Glasgow City","Scotland",NA
"625","Glasgow South West","66,335","62,378","66,209","Glasgow City","Scotland",NA
"626","Glenrothes","69,499","68,393","69,781","Fife","Scotland",NA
"627","Gordon","69,631","74,394","79,393","Aberdeenshire","Scotland",NA
"628","Inverclyde","65,485","61,038","59,350","Inverclyde","Scotland",NA
"629","Inverness, Nairn, Badenoch and Strathspey","67,790","72,764","77,628","Highland","Scotland",NA
"630","Kilmarnock and Loudoun","72,922","75,001","75,250","East Ayrshire","Scotland",NA
"631","Kirkcaldy and Cowdenbeath","74,163","74,247","75,941","Fife","Scotland",NA
"632","Lanark and Hamilton East","76,173","76,190","79,962","South Lanarkshire","Scotland",NA
"633","Linlithgow and East Falkirk","78,675","81,756","86,955","West Lothian and Falkirk","Scotland",NA
"634","Livingston","76,299","76,580","82,373","West Lothian","Scotland",NA
"635","Midlothian","62,787","61,986","67,875","Midlothian","Scotland",NA
"636","Moray","63,959","66,726","71,685","Moray","Scotland",NA
"637","Motherwell and Wishaw","67,499","66,949","70,283","North Lanarkshire","Scotland",NA
"638","Na h-Eileanan an Iar","21,884","21,837","21,769","Na h-Eileanan Siar","Scotland",NA
"639","North Ayrshire and Arran","73,182","75,201","75,791","North Ayrshire","Scotland",NA
"640","North East Fife","64,813","63,349","62,003","Fife","Scotland",NA
"641","Ochil and South Perthshire","71,738","75,848","77,370","Clackmannanshire and Perth and Kinross","Scotland",NA
"642","Orkney and Shetland","32,181","33,755","34,552","Orkney Islands and Shetland Islands","Scotland",NA
"643","Paisley and Renfrewshire North","68,642","65,847","66,206","Renfrewshire","Scotland",NA
"644","Paisley and Renfrewshire South","68,038","63,268","61,281","Renfrewshire","Scotland",NA
"645","Perth and North Perthshire","70,718","73,064","72,459","Perth and Kinross","Scotland",NA
"646","Ross, Skye and Lochaber","49,544","52,064","54,169","Highland","Scotland",NA
"647","Rutherglen and Hamilton West","75,370","77,729","82,830","South Lanarkshire","Scotland",NA
"648","Stirling","66,393","66,743","67,236","Stirling","Scotland",NA
"649","West Aberdeenshire and Kincardine","62,214","67,060","73,445","Aberdeenshire","Scotland",NA
"650","West Dunbartonshire","71,710","66,738","69,208","West Dunbartonshire","Scotland",NA
